sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Mathai1	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai2	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai3	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai4	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai5	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai6	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai7	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai8	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai9	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai10	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai11	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai12	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai13	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai14	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Mathai15	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
